achievements,activity.id,activity.resource_state,athlete.id,athlete.resource_state,average_cadence,average_heartrate,average_watts,device_watts,distance,elapsed_time,end_index,hidden,id,max_heartrate,moving_time,name,pr_rank,resource_state,segment.activity_type,segment.average_grade,segment.city,segment.climb_category,segment.country,segment.distance,segment.elevation_high,segment.elevation_low,segment.end_latitude,segment.end_latlng,segment.end_longitude,segment.hazardous,segment.id,segment.maximum_grade,segment.name,segment.private,segment.resource_state,segment.starred,segment.start_latitude,segment.start_latlng,segment.start_longitude,segment.state,start_date,start_date_local,start_index
[],3574471561,1,14175897,1,,,190.4,False,895.57,182,551,False,2704460581770084427,,182,SJMA mini climb east side,,2,Ride,1.9,Waterloo,0,Canada,895.57,397.6,380.8,43.47054021432996,"[43.47054021432996, -80.59244541451335]",-80.59244541451335,False,1844481,7.1,SJMA mini climb east side,False,2,False,43.46523170359433,"[43.46523170359433, -80.58438898064196]",-80.58438898064196,ON,2020-06-06T14:45:11Z,2020-06-06T10:45:11Z,370
[],3574471561,1,14175897,1,,,115.7,False,1232.7,155,722,False,2704460581770084435,,155,Erbsville Rd Town line sprint,,2,Ride,-1.3,Waterloo,0,Canada,1232.7,371.9,350.4,43.479764,"[43.479764, -80.603113]",-80.603113,False,5347399,1.7,Erbsville Rd Town line sprint,False,2,False,43.471319,"[43.471319, -80.593252]",-80.593252,ON,2020-06-06T14:48:29Z,2020-06-06T10:48:29Z,567
[],3574471561,1,14175897,1,,,161.9,False,1677.2,223,826,False,2704460581770084441,,223,Erbsville - SJAM to Bisch,,2,Ride,-0.7,Waterloo,0,Canada,1677.2,358.4,345.2,43.484044,"[43.484044, -80.60906]",-80.60906,False,12144994,5.4,Erbsville - SJAM to Bisch,False,2,False,43.473015,"[43.473015, -80.595921]",-80.595921,Ontario,2020-06-06T14:49:06Z,2020-06-06T10:49:06Z,604
[],3574471561,1,14175897,1,,,147.4,False,1483.59,253,1085,True,2704460581770084461,,253,Disch - Erbsvillle to Benjamin,,2,Ride,0.6,Waterloo,0,Canada,1483.59,357.6,348.8,43.49761459976435,"[43.49761459976435, -80.60859357006848]",-80.60859357006848,False,2273227,8.9,Disch - Erbsvillle to Benjamin,False,2,False,43.48434059880674,"[43.48434059880674, -80.60911106877029]",-80.60911106877029,ON,2020-06-06T14:52:55Z,2020-06-06T10:52:55Z,832
[],3574471561,1,14175897,1,,,146.8,False,1279.7,217,1067,False,2704460581770084453,,217,Bisch Bash TT Push,,2,Ride,0.9,Waterloo,0,Canada,1279.7,360.8,348.4,43.496795,"[43.496795, -80.608667]",-80.608667,False,18257729,7.8,Bisch Bash TT Push,False,2,False,43.485319,"[43.485319, -80.609175]",-80.609175,Ontario,2020-06-06T14:53:13Z,2020-06-06T10:53:13Z,850
[],3574471561,1,14175897,1,,,141.8,False,2096.9,347,1746,False,2704460581770084469,,347,Martin Creek Northbound,,2,Ride,0.2,Waterloo,0,Canada,2096.9,361.9,347.7,43.516452,"[43.516452, -80.579758]",-80.579758,False,5531701,5.8,Martin Creek Northbound,False,2,False,43.49776,"[43.49776, -80.5828]",-80.5828,ON,2020-06-06T15:02:25Z,2020-06-06T11:02:25Z,1399
[],3574471561,1,14175897,1,,,126.0,False,3419.64,619,5117,True,2704460581770084477,,619,David St.,,2,Ride,0.7,Elora,0,Canada,3419.64,411.2,384.0,43.71660439297557,"[43.71660439297557, -80.41381104849279]",-80.41381104849279,False,1116634,26.4,David St.,False,2,False,43.694879841059446,"[43.694879841059446, -80.4437384661287]",-80.4437384661287,ON,2020-06-06T17:04:10Z,2020-06-06T13:04:10Z,4498
[],3574471561,1,14175897,1,,,127.5,False,543.0,2096,8899,False,2704460581770084491,,621,26th Climb,,2,Ride,4.9,Belwood,0,Canada,543.0,451.4,424.6,43.787426,"[43.787426, -80.313113]",-80.313113,False,18358872,13.7,26th Climb,False,2,False,43.790919,"[43.790919, -80.318082]",-80.318082,Ontario,2020-06-06T18:07:46Z,2020-06-06T14:07:46Z,8182
[],3574471561,1,14175897,1,,,85.1,False,2644.2,803,11372,False,2704460581770084501,,583,Rail Trail West,,2,Ride,0.0,Fergus,0,Canada,2644.2,434.6,432.2,43.7387,"[43.7387, -80.363329]",-80.363329,False,7116077,5.8,Rail Trail West,False,2,False,43.733149,"[43.733149, -80.332645]",-80.332645,ON,2020-06-06T19:16:26Z,2020-06-06T15:16:26Z,10777
[],3574471561,1,14175897,1,,,93.8,False,5116.5,1887,14990,False,2704460581770084515,,1072,Wellington Rd 18 - Wellington Rd 7 to 8 Line,,2,Ride,-0.3,"Ontario N0B, Canada",0,Canada,5116.5,299.2,271.8,43.658134,"[43.658134, -80.493096]",-80.493096,False,5718883,9.8,Wellington Rd 18 - Wellington Rd 7 to 8 Line,False,2,False,43.691148,"[43.691148, -80.448899]",-80.448899,ON,2020-06-06T20:18:52Z,2020-06-06T16:18:52Z,13899
[],3574471561,1,14175897,1,,,104.7,False,1798.6,545,15429,False,2704460581770084523,,424,Wellington Rd 18 / Northfield - 8 Line W to Sandyhills Dr,,2,Ride,-0.9,"Ontario N0B, Canada",0,Canada,1798.6,277.6,261.8,43.645241,"[43.645241, -80.505635]",-80.505635,False,5718865,0.0,Wellington Rd 18 / Northfield - 8 Line W to Sandyhills Dr,False,2,False,43.658118,"[43.658118, -80.493248]",-80.493248,ON,2020-06-06T20:50:22Z,2020-06-06T16:50:22Z,14993
